,review,sentiment
12567,"I love Henry James books and Washington Square was no exception. I was very excited to see a new movie coming out, based on the book of that title. Jennifer Jason Lee is an exceptional actress and Ben Chaplin good enough to play the lead roles. Albert Finney is miscast and doesn't carry the role well. I wanted to shoot Maggie Smith....or rather her silly, insipid role. The real problem and what's lacking in this latest version is a good script, music, and direction.<br /><br />I fell asleep in the theater watching this long, drawn out and exceptionally boring movie. There are more pauses in the dialog than a Pinter Play. In the book I felt a deep caring for Catherine Sloper and her life. The movie had just the opposite effect. I also disliked the twist where her aunt has a sexual attraction to Morris. Eeeeeeeek. YUK.<br /><br />Watch it if you can't sleep, it's a definite snoozer. Don't watch it if you're depressed. You'll need Zoloft after this.<br /><br />Sure, ""The Heiress"" was exceptional with Olivia Haviland and Montgomery Clift in the title roles. The actor who played her father was on the mark as the uncaring, cold father....still grieving for his dead wife and hating Catherine for it. The movie was not faithful to the book but neither is this one.<br /><br />This movie was a box office flop. I have no doubts as to why.",negative
42939,"Slasher sequel (fourth SLUMBER PART MASSACRE film) concerns a group of nubile cheerleaders stranded in a mountainous cabin in the snow, being offed by a deranged killer. Typical slasher elements for hardcore slasher fans, gore, wonderfully gratuitous female nudity, no plot. Though it wears out its welcome eventually, even at its short length.<br /><br />Original star Brinke Stevens makes a cameo, which only seems to be there for the sake of including her in the movie.",negative
39566,"The movie is very lengthy and unfortunately pretty different from the Novel. If you want to see the movie then don't read the novel first as it will shock you. However, cinematography was OK and if you are a person who loves adventure genres which explores Africa then go for it. Acting performances are adequate, however, many important events that were present in the novel are omitted. In the novel, Sir Henry Curtis was in search of his missing brother rather than a lady in search of her father. Gagool was cunning and was killed in the cave whereas here she was shown to be a good person who preferred to stay with the new king.",negative
31598,"Extremely funny. More gags in each one of these episodes than in ten years of Friends. And with a good (ie. funny) Nordberg, not the fab-only-casted OJ Simpson in the movies. When will these episodes emerge on DVD?...",positive
23190,"Ned Kelly (Ledger), the infamous Australian outlaw and legend. Sort of like Robin Hood, with a mix of Billy the Kid, Australians love the legend of how he stood up against the English aristocratic oppression, and united the lower classes to change Australia forever. The fact that the lower classes of the time were around 70% immigrant criminals seems to be casually skimmed around by this film. Indeed, quite a few so called `facts' in this film are, on reflection, a tad dubious.<br /><br />I suppose the suspicions should have been aroused when, in the opening credits, it was claimed that this film is based upon the book, `Our Sunshine'. If ever a romanticized version of truth could be seen in a name for a book, there it was. This wasn't going to be a historical epic, but just an adaptation of one of many dubious legends of Ned Kelly, albeit a harsh and sporadically brutal version.<br /><br />Unfortunately, Ned Kelly is nothing more than an overblown Hallmark channel `real life historical drama' wannabe! The story plods along at an alarming rate (alarming because never has a film plodded so slowly!) The feeling of numbness after the two hours of pure drivel brought back memories of Costner's awful Wyatt Earp all those years ago. Simply put, nothing happens in the film, but it takes a long time getting to that nothing. This would possibly have been a tad more bearable if the performances were good (because the direction sure as heck wasn't). However, unless you are looking to play a game of spot the worst Oirish accent, then you're gonna be disappointed. Between that, the game of `Who has the stupidest beard?', `Spot the obvious backstabber!' (clue, they are all ginger for some reason), and `Nature in Australia.including lions', it is an experience similar to flicking through Hallmark, The History Channel, Discovery Channel, and Neighbours whilst suffering a huge hangover. Yup, nature pops up a lot, as to fill even more time (possibly an attempt to look arty), the film keeps showing pointless wildlife shots, and once all the native species are shown, here's a circus to allow for a camel and a lion (which is used during one fight to try to make us actually feel more sorry for the lion than the massacred people).<br /><br />This is a turgid, emotionless piece of historical fluff which should have gone straight to TV. There isn't even one good word I can say about this film. Even the usually fantastic Rush seems embarrassed to be here. When one of the characters comments that there is only 2 bullets left for him and his pal, I myself was wishing I had a gun to blow any memory of this film out of my head!",negative
49702,River's edge is not a PLEASANT film to watch but it is an incredible one. Having viewed it many years ago I truly think it would still have the ability to shock were it to be re released or remade or something. Perhaps no movie ever made has captured the essense of young suburban inertia like this distrubing frightening movie. Given that this is based on a true story it is even more disturbing. Very well acted and just UNPLEASANT at many times to watch but also a little known masterpiece and a truely important film. Should be a mandatory to watch shown nationwide in all highschools. Fantastic.,positive
35992,"I've finally seen THE INCUBUS after waiting 20 something odd years to see it and well, it surely wasn't worth waiting all this time to see it. THE INCUBUS is strictly by-the-number horror film: unseen killer/monster is raping and murdering women in a small town. <br /><br />The film goes like this: movie opens with killing; then blah blah blah; more blah blah blah; then another killing; even more blah blah blah; continuing with blah blah blah; yet another killing (surprising, huh?); blah blah blah, etc...<br /><br />The film is totally predictable from beginning to end. Even the stupid ""big"" red-herring used throughout the movie wouldn't convince a 5 year old. And I figured out the secret identity of the incubus the moment I saw the character, so when the ""shocking"" surprise ending arrived, I wasn't shocked or surprised. In fact, it was so funny that I kept on chuckling days after I saw the movie. It's so silly!<br /><br />Anyway, the film is so by-the-number that the ""rock band"" sequence is one of the few stand-out moments in this dreary flick. It's a stand-out scene not necessarily because it's good but because it's so funny and pointless: the movie playing on the big screen shows a rock video-like moment with a guy in red leather pants getting his obviously fake long hair cut, all of this edited with scenes of a girl who is being attacked in the movie theater's washroom by the incubus. The best thing I could say about this film is the cinematography, which I actually liked. But aside from that, there's almost nothing worth mentioning about THE INCUBUS, except that it's unintentionally hilarious.",negative
43084,"... and in *no way* as clean, logical, and understandable as in pictured in that pathetic sum of tired Hollywood cliches.<br /><br />I'm 27, and I've spent 16 years of my life struggling through delusional phobia and paranoid hallucinations. Like the main character in the film, I was successful mainly because of logic : because I kept thinking over and over to keep delusion away from reality, and to know what was really going on and what wasn't. In the end, I was really successful because of medication, by the way, but I certainly escaped madness because I knew before I took medication the difference between what was real and what wasn't.<br /><br />So, I feel entitled to tell you that this movie is a total fraud. Not only does it cheat with the main character's story (who wasn't faithful to his wife, who was bisexual - something really important here), but mostly, it shows a comforting, tamed view of schizophrenia - which is entirely missing the point.<br /><br />Schizophrenia is a mind structure, not a disease. A schizophrenic *isn't* a ""normal man with a disease"", it's someone who from early on views and feels things differently from most people : for him, things like time, space, and people's personalities aren't solid things. He feels it can be bent, it can change, it can mutate, and maybe even disappear. To cope with this, a schizophrenic has a rich, very imaginative inner world which ""normal"" people don't expect - but he's trapped in it because he can't relate with most people, and his world gets poorer and poorer until he finishes in a blank, delusive dead end.<br /><br />This is very different to what's depicted in this ridiculous ""cure"", tear-jerking movie. It should be violently frightening. People other than the main character should appear strange, weird and absurd, like in Lynch's ""Eraserhead"", for example. There should be *really* impressive, weird, gross hallucinations, because that's what schizophrenia is all about. It's not about *details*.<br /><br />I mean, watch ""Naked Lunch"", ""Lost Highway"", read P.K. Dick's ""Martian Time-Split"" or ""Ubik"", DO watch ""The Cell"", ""Perfect Blue"", ""Dark City"", or play ""American McGee's Alice"" on PC, and you may have a vague idea of what it's like. Don't watch the ""feel good"" movie of the month, with banal situations, cleaned characters and visuals, and stupid plot tricks. ""The Cell"" is the most accurate movie about a schizophrenic's mind, his visions and his inner consistency - it's violent, weird, confusing, and very, very scary.<br /><br />Once again, Schizophrenia isn't about details, it's not a neat, tame trick played to you. It jumps in your face and won't let you go : walls fall apart, people turn into strange hostile creatures, you feel like you go backward in time, you're not sure you're who you think you are, everything feels... strange, unnatural. Believe me, this is much much more than what's depicted in this soap-like melodrama",negative
7674,"This, in my opinion, is a very poor movie that advertises Arnold Schwarzenegger as starring (despite him being the co-star) only to sell more copies. Obviously taking influence from the similarly themed Conan' movies, this film fails to prove as enjoyable and eventually fails to entertain at all.<br /><br />Bridgette Neilsen stars as Sonja, a beautiful woman who has been given unbelievable strength by a ghostly figure after her village was pillaged, her family killed and she herself raped by the soldiers of Queen Gedran (Sandahl Bergman). Gedran is a tyrant Queen who wants control over the barbaric world and seeks out a talisman protected by Sonja's sister to do it. After discovering what has happened Sonja sets out for revenge and at the same time she must save the world from the wrath of Gedran. Kalidor (Schwarzenegger), the master of the talisman, sets out to protect her whether she wants him there or not.<br /><br />The first major problem with this movie is the beginning. The events leading up to the point where Sonja receives her powers could have easily made a good ten to fifteen minutes of enjoyable film. However, the beginnings are rushed into what seems like a quick one-minute `Previously on.' segment from a television show. Had they actually made these events part of the story and cut out some of the filler later on they may have been able to start redeeming this movie but unfortunately they didn't (I wonder why director Richard Fleischer has only currently directed two movies since Red Sonja).<br /><br />This film also features some of the most annoying characters in history like Tarn (Ernie Reyes Jr.) who is a stupid character and just adds an over abundance of camp to the movie, which sometimes works but in this case fails miserably. He was quite obviously written into the movie for some comic relief but with the overall absurdity of the film anyway this was another costly mistake for Red Sonja'.<br /><br />For all it's faults there were some good fight scenes involving both Neilsen and Arnie which are worth noting but these are nowhere enough to save this turkey. The acting is about as good as it gets for movies of this quality and even Arnie didn't seem too bothered about his performance. I don't recommend this film at all; to me it's a waste of an hour and a half. My rating for Red Sonja'  3/10",negative
20480,"Passing stones definitely one of the best comedy independent films ever. You must have a sense of humor to fully enjoy this one. This film for some reason hasn't received its credit due. First, lets start with the story line everyone loves a good treasure hunt. When a dead father leaves letters behind advising of a hidden treasure it not only brings two families together but starts a whirlwind adventure. Mix in a polish translator, a comatose mother, a crack-head with turrets syndrome, a twisted homosexual hypnotist, and one drag queen, money not only makes the world go round but can turn family into enemies. My favorite character in this film would have to be the sister/crack addict with turret's syndrome,her sudden out burst will have you crying and mimicking for weeks.",positive
35612,"Satisfying fantasy with ships sailing thru clouds with cannons, evil plotters, strange landscapes, manipulations of time, great sets, void of reality, maybe like Never Ending Story or some Merlin stuff. If you like that, you'll love it. Christine Taylor is beautiful. Sword fighting is phoney. Music is delightful. Good wins out, they kiss, all is well, and the cook is pleased.",positive
16418,"John Huston's Wise Blood was a more horrifying misrepresentation of Flannery O'Connor's book than I could have imagined. From the utterly terrible acting performances (and don't you, ""Oh that was done on purpose, you just don't get it"" me!) to the musical score that was more suited to an episode of Rockford Files, this film was revolting. I viewed it with no ill-will at the outset, and, in fact, expected a pleasant experience. But the misrepresentation of the southern characters, from the ridiculously fraudulent southern drawl to the lilting, comedic way their faith was portrayed, was inexcusable. Right down to it's end, which was completely devoid of any character sentiment, it failed in every place that O'Connor's book shined and resonated. The actors portraying the ""southern"" policemen may as well have been eating smothered hot-dogs from NYC street stands and quoting Godfather. The one redeeming acting performance was Ned Beatty's lively and dead-on representation of Hoover Shoates, a religious con-artist who hears Moates preaching the Church of Christ Without Christ and sees dollar signs and business opportunities. O'Connor's powerful book is most well-known for it's creepy, religious undercurrent that jibes the seemingly lifeless cadaver of ""Faith"". Mr. Huston's film is a shameful mockery of the author's intentions, as they are understood by me and most of her fans, if I may be so bold as to say so. While I acknowledge that I can't know exactly what the author wished to convey, I have enough affection for her and her works to desire to remain a fan. If I viewed Wise Blood the way Mr. Huston apparently did, I would have thrown it in the trash. For Flannery's sake, and mine, I forgive you, John Huston. The forgetting....that will take some time.",negative
10314,"After the opening credits, there's a black screen for about a minute. A minute of nothing, then a girl wakes up and takes a shower.Then her and two college friends are driving to a rock concert, after much padding, they hit something and skid off the road. They awaken in a cabin inhabited by a wheelchair-bound old lady and her offspring.The killings are sadly very tame for a supposed Video Nasty. The twist ending silly and predictable. No one involved in the mess would ever make anything of note again. So there are still happy endings sometimes.<br /><br />Eye Candy: Sara Ansley gets topless, and Laurel Munson has full frontal on display <br /><br />My Grade: D",negative
48548,"Hardware Wars rips off EVERYTHING in Star Wars. But if you are planning on doing any parody, you need to do it just a bit better than this. Not that there is anything wrong, per se, with Hardware Wars, but if you spoof, do it well, or not at all.",negative
7409,"So let me start off by saying that I saw this movie as part of a bargain. I was really bored one fine 1997 day and so I biked over to the movie rental store. I asked the clerk what the worst movie he had in stock was. Without hesitation he walked me over to ""Lucky Stiff."" He told me that he'd waive the $1 rental fee (he said it would be wrong to charge more) if I promised to watch the whole movie. So watch it I did, for free...<br /><br />This movie is terrible. God-Awful even. I don't need to go into plot details, read the other reviews. The jokes make no sense. The acting was terrible. I know it was supposed to be a comedy, but the stupidity of the main character was exhausting. You might try to watch it as something to laugh at, but it's so bad that it isn't even funny in that way. Avoid!",negative
17900,"One of the most excellent movies ever produced in Russia and certainly the best one made during the decline of the USSR. Incredibly clever, hilarious and dramatic at the same time. Superb acting. Overall a masterpiece. Score it 10/10. <br /><br />",positive
31063,"This an extremely horrible movie. And if your thinking you've seen another horrible movie, exactly like this one before, you probably have. You probably saw Scarecrow 2 made in 2003. Yes thats what I said, Brian (the director) stole the movie idea. And not only did he steal it, he actually might have been able to make it worse. I bet the even the actors were scared to tell people they were actually in the movie. Also I have to mention that the director was trying to make up for the cheesiness by showing as much tits as possible. Also the kissing scenes were put together like a porn movie. In fact that is probably all that the director has ever seen, and tried to put together a decent movie, which will never work.",negative
20887,"What a snore-fest.<br /><br />Of all the bits of nostalgia that Hollywood has decided to remake and update, this is by far one of the most pointless. This was a totally pointless show in the first place, and we REALLY don't need a 'modern' update.<br /><br />Never mind the bigotry and sexism inherent in the system from the beginning, so many advances have been made, socially, since the show ran that the entire point of the show (if it ever had one) has been lost.<br /><br />Also, what is the point of having a character named Boss Hogg if he's NOT overweight?",negative
35367,"Dolph Lundgren broods and scowls his way through this incoherent mystery/thriller that's not nearly as cool as the box would have you believe. He is actually quite good here, but the story is a mess of B-movie cliches (detectives, revenge, tycoons, hookers, S&M) that looks like it was made up as they went along. The film picks up a bit in the second half but for a more decent Lundgren flick, rent RED SCORPION instead.",negative
15024,"I liked Top Gun. It held my interest. Predictable plot, decent character development and story line. It is pretty similar to High Noon in that the town people appear weak and scared to stand up to a villain. This movie has some quality actors who really did not get a chance to share all of their talents. Also some of the actors did not receive credit for their roles. Denver Pyle was a good looking man in his younger days. John Dehner, Rod Taylor are outstanding in their roles. Sterling Hayden did the best that he could with poor material. It is hard to imagine him as a gunslinger. Laura, played by Karen Booth, was a nauseating character. She seemed flattered that two men may have been fighting over her. Ugh. Finally, How can people travel without luggage? Especially women.",positive
12404,i found the story to be just enough of a thriller that the wonderful henry mancici music didn't lull me. julie andrews was excellant and i sure don't understand why this movie had problems at the box office when it came out because it just makes me happy at the end to have everybody singing. and i do like happy ever after endings which i think you can say this movie has along with some traditional blake edwards humor...,positive
34567,Most definitely the worst Columbo ever dreamt up. No murder and the abandonment of the tried and tested formula makes this a real drag. Falk looks bored throughout and so will you be if you waste anytime watching this.,negative
24573,"That's what I thought, when I heard about the cast of Inglorious Basterds. And I'm both from Germany and into movies.<br /><br />That guy is older than 50 and so far he almost only played in mediocre TV series - and even there he didn't play the main parts. Obviously nobody ever noticed, what he's capable of. Now, thanks to QT, he got one shot to change that - and - let's put it this way - that was a bingo! He is the living proof of what a great caster Tarrantino is.<br /><br />By the way: I think it's a great privilege to watch the movie as a German - being able to understand everything. And the German dialog is written almost as good as the English.<br /><br />Now I could repeat, what many others have written here before. I'll put it short: Finally, QT is back.",positive
725,"As a long-time fan of all the Star Trek series,I found this a disappointing episode, and I wonder if the liberal use of ""flashbacks"" featuring Will Riker's exploits, both positive (and largely romantic) and negative (lots of pain, and a crewmate's death)was a money-saving device, as were many of their ""bottle shows"" (episodes in which all scenes take place on the Enterprise). Diana Muldaur(who also appeared at least twice on the original series) deserved a better final appearance than this for her character, Dr. Kate Pulaski. Loyal viewers (in the Star Trek world, is there any other kind?) also were shortchanged. This was the last episode of second season; thus, the season ended ""not with a bang"" but with ""a whimper.""",negative
19173,"Had this movie been made just a few years later, I would have knocked down the score a point or two because the sound quality was rather poor. At times, the movie appeared to be a silent film during the in-between-scenes (normal ambient sounds are missing). But, given it was 1931 and a French movie, this is quite forgivable. Especially since this also occurs in later French films--by which time the sound difficulties should have been worked out completely (such as in L'Atalante from 1934).<br /><br />Okay, apart from some minor sound problems, this is a cute little film about a missing winning lottery ticket and a long list of people trying to get it. And, during the search there are lots of jaunty little songs that you can't help but like. A nice charming film all-in-all.",positive
1346,"This gem for gore lovers is extremely underrated. It's pure delight and fun! Gratuitous servings of blood, insanity and black humor, which can please even the most demanding lover of the genre. A full exploitation of the almost universal fear of dentists and flawlessly shot. Only for the connoisseurs.",positive
28919,"This movie is so bad they should burn the master. You cant spoil the plot because this movie doesn't have one. The graphics are less than fake, they're horrendous. Then you've got the rambling through the countryside star gazer work-a-holic who bounces between his own lunacy & the mad rantings of the crazed preacher. & when he finally makes it to DC, they don't even have the decency to kill him; the monster (which you don't know at the time) is already dieing but how ... who knows & of course it has the ultimate sappy ending... everybody else on the planet is dead or dieing but his family & a handful of stragglers survive. Imagine that! This will be the movie that C Thomas Howell will go to his grave regretting he ever starred in. It probably gives him nightmares.",negative
46090,"I first heard of this movie at the ""Flashback Weekend"" in Chicago 2007 for the ""Nightmare on Elm Street"". Robert Englund was really talking the movie up and he was great in his part of ""Hatchet"". The same can be said for Tony Todd. Knowing this is a low budget first time director / writer it delivers every bit as much as the big budget and also cameo laden ""Holloween"" (2007) remake/re-imagining.<br /><br />Technically it falls short in a couple of places. The alligator attack seen was shoot too dark. When it happened the dark head of the alligator against the swamp clamping on to the black pants became almost invisible. The mood music in the swamp scenes was too loud in volume and canned, like a bad sitcom. And just like ""Holloween"" (2007) someone is smart enough to have a gun, but of course shooting the killer is only a pause button for the killer. The ending, well, as soon as I saw where it was going I knew what was going to happen, not very original.<br /><br />The highlights of the movie are the characters and their interactions. Unlike ""Holloween"" (2007) we got to meet the people and care what happened to them. Ben (Joel Moore, who is also the lead of ""Spiral"")the sulking lead and Marcus (""Not Another Teen Movie"")as the best friend and funny man to root for during the movie. Shapiro (Joel Murry ""Dharma & Greg""), Jenna (Joleigh Fioreavanti) and Misty (Mercedes McNab of ""Buffy the Vampire Slayer: The Series"", ""Angel: The Series"" and ""The Addams Family"" movies) give a convoluted reason for topless women. Mr. and Mrs. Permatteo played by television regulars (Richard Riehle ""Grounded for Life"", Patrika Darbo ""Step by Step"")as the older couple that you know don't stand a chance, even the tour guide Shawn (Parry Shen) is a fleshed out character. I hope to see more from all involved in this film, but I think it will play better on home video than in the theater, sorry.",negative
45229,"Opening with some blatantly reused footage from 'Kit for Cat', 'Tweety's S.O.S' fails to live up to that classic cartoon. Instead, we get an example of Friz Freleng's Tweety and Sylvester series at its most generic. Unlike Chuck Jones's Road Runner series, which strived to introduce new jokes to the same setting, Freleng's series seemed happy enough to recycle jokes as long as the characters were in a different place. 'Tweety's S.O.S', then, basically amounts to ""this time let's put 'em on a boat"". It's not an entirely weak cartoon. There are a few good jokes, mostly involving Granny's glasses, but they are outweighed by gags you can see coming a mile off (the seasickness routine) and it all builds to another of those endings where someone else other than Tweety says ""I tawt I taw a putty tat"", a joke that worked well once but has diminishing returns. 'Tweety's S.O.S' will probably please children who enjoy virtually any cartoon but for big kids like me who are looking for more than the same tired gags it's definitely one to avoid.",negative
17349,"Cheap and mind-blisteringly dull story and acting. Not a single good line, not even a line bad enough to be good, and no memorable delivery. Even the blooper reel included with the DVD showed how inept the actors were and how little fun any of them were having. The esoteric and occult basis was apathetically inauthentic, and the antagonists failed to be creepy or believable. The 'homoerotic' overtones were pointlessly tame and dissatisfying, and were limited to young boys caressing their chests while flaccid in their boxers. I'm not gay enough to appreciate it, but a little action might have at least kept me and my girlfriend awake.",negative
